date;heure;temperature(°C);pluie(mm/1h);humidite(%);vent_moyen(km/h)
2016-01-01 00:00:00;00h;7.1;0;87;11
2016-01-01 00:00:00;23h;6.9;0;88;7
2016-01-01 00:00:00;22h;6.9;0;91;9
2016-01-01 00:00:00;21h;7.2;1;88;9
2016-01-01 00:00:00;20h;7.4;0;83;13
2016-01-01 00:00:00;19h;7.5;0;81;19
2016-01-01 00:00:00;18h;7.6;0;86;19
2016-01-01 00:00:00;17h;7.9;0;86;11
2016-01-01 00:00:00;16h;7.8;0;86;15
2016-01-01 00:00:00;15h;7.5;0;87;13
2016-01-01 00:00:00;14h;7.4;0;91;9
2016-01-01 00:00:00;13h;6.8;0;93;15
2016-01-01 00:00:00;12h;6.2;0;92;7
2016-01-01 00:00:00;11h;5.9;0;93;9
2016-01-01 00:00:00;10h;5.7;0;94;7
2016-01-01 00:00:00;09h;5.4;0;94;7
2016-01-01 00:00:00;08h;5.1;0;95;4
2016-01-01 00:00:00;07h;4.7;0;94;4
2016-01-01 00:00:00;06h;5.3;0;93;6
2016-01-01 00:00:00;05h;5.8;0;92;6
2016-01-01 00:00:00;04h;6.3;0;91;6
2016-01-01 00:00:00;03h;6.9;0;85;6
2016-01-01 00:00:00;02h;7.9;0;83;6
2016-01-01 00:00:00;01h;8.2;0;82;9
2016-01-02 00:00:00;00h;7.8;0;76;15
2016-01-02 00:00:00;23h;8.4;0;73;13
2016-01-02 00:00:00;22h;9.0;0;72;15
2016-01-02 00:00:00;21h;9.1;0;77;17
2016-01-02 00:00:00;20h;8.8;0.2;82;15
2016-01-02 00:00:00;19h;8.7;0.6;85;17
2016-01-02 00:00:00;18h;9.1;0.6;82;17
2016-01-02 00:00:00;17h;10.1;0;73;19
2016-01-02 00:00:00;16h;10.4;NaN;73;19
2016-01-02 00:00:00;15h;10.8;0;70;22
2016-01-02 00:00:00;14h;10.9;0;70;19
2016-01-02 00:00:00;13h;10.8;0;71;22
2016-01-02 00:00:00;12h;10.5;0;73;22
2016-01-02 00:00:00;11h;10.1;0;78;19
2016-01-02 00:00:00;10h;9.5;0;82;13
2016-01-02 00:00:00;09h;9.0;0;88;13
2016-01-02 00:00:00;08h;8.7;0;91;11
2016-01-02 00:00:00;07h;8.6;0;90;9
2016-01-02 00:00:00;06h;8.6;0;90;13
2016-01-02 00:00:00;05h;8.4;0;89;15
2016-01-02 00:00:00;04h;8.1;0.2;89;13
2016-01-02 00:00:00;03h;7.9;0;88;13
2016-01-02 00:00:00;02h;7.3;0;88;11
2016-01-02 00:00:00;01h;7.4;0.2;88;11
2016-01-03 00:00:00;00h;8.4;0;85;11
2016-01-03 00:00:00;23h;8.4;0;85;13
2016-01-03 00:00:00;22h;8.3;0;88;17
2016-01-03 00:00:00;21h;8.1;0;91;13
2016-01-03 00:00:00;20h;7.6;0.2;92;15
2016-01-03 00:00:00;19h;7.2;0.4;92;15
2016-01-03 00:00:00;18h;7.2;1.6;92;22
2016-01-03 00:00:00;17h;7.2;2.7;91;24
2016-01-03 00:00:00;16h;7.4;2.2;90;22
2016-01-03 00:00:00;15h;7.7;1;87;22
2016-01-03 00:00:00;14h;8.1;0.2;85;22
2016-01-03 00:00:00;13h;7.8;0.2;87;22
2016-01-03 00:00:00;12h;7.4;0;89;19
2016-01-03 00:00:00;11h;6.9;0;90;19
2016-01-03 00:00:00;10h;6.5;0;88;11
2016-01-03 00:00:00;09h;6.1;0;88;15
2016-01-03 00:00:00;08h;6.0;0;87;11
2016-01-03 00:00:00;07h;6.2;0;85;13
2016-01-03 00:00:00;06h;6.5;0;81;13
2016-01-03 00:00:00;05h;7.0;0;77;15
2016-01-03 00:00:00;04h;6.9;0;77;15
2016-01-03 00:00:00;03h;7.1;0;75;11
2016-01-03 00:00:00;02h;7.5;0;75;9
2016-01-03 00:00:00;01h;7.5;0;76;13
2016-01-04 00:00:00;00h;6.0;0;86;11
2016-01-04 00:00:00;23h;6.2;0;85;11
2016-01-04 00:00:00;22h;6.4;0;83;9
2016-01-04 00:00:00;21h;6.7;0;83;13
2016-01-04 00:00:00;20h;7.1;0;84;13
2016-01-04 00:00:00;19h;7.6;0;82;9
2016-01-04 00:00:00;18h;8.2;0;80;9
2016-01-04 00:00:00;17h;9.1;0;75;13
2016-01-04 00:00:00;16h;9.7;0;71;17
2016-01-04 00:00:00;15h;9.7;0;72;19
2016-01-04 00:00:00;14h;10.0;0;72;15
2016-01-04 00:00:00;13h;9.4;0;73;15
2016-01-04 00:00:00;12h;8.4;0;75;20
2016-01-04 00:00:00;11h;7.5;0;81;19
2016-01-04 00:00:00;10h;6.5;0;85;15
2016-01-04 00:00:00;09h;6.1;0;86;15
2016-01-04 00:00:00;08h;5.9;0;86;11
2016-01-04 00:00:00;07h;6.4;0;85;11
2016-01-04 00:00:00;06h;6.4;0;86;17
2016-01-04 00:00:00;05h;6.3;0;85;9
2016-01-04 00:00:00;04h;6.6;0;85;15
