Entity,Code,Year,Hydroelectric sources (Rate),Other renewable sources (Rate)
Albania,ALB,1971,57.1428571428571,0
Albania,ALB,1972,62.0689655172414,0
Albania,ALB,1973,66.2162162162162,0
Albania,ALB,1974,68.4210526315789,0
Albania,ALB,1975,71.9101123595506,0
Albania,ALB,1976,74.5098039215686,0
Albania,ALB,1977,76.5217391304348,0
Albania,ALB,1978,77.4193548387097,0
Albania,ALB,1979,78.8321167883212,0
Albania,ALB,1980,79.4078061911171,0
Albania,ALB,1981,81.3333333333333,0
Albania,ALB,1982,83.0013280212483,0
Albania,ALB,1983,84.6560846560847,0
Albania,ALB,1984,73.6884584342211,0
Albania,ALB,1985,67.6835081029552,0
Albania,ALB,1986,79.5338817077947,0
Albania,ALB,1987,76.2229806598407,0
Albania,ALB,1988,73.7700803212851,0
Albania,ALB,1989,74.6543778801843,0
Albania,ALB,1990,86.4077669902913,0
Albania,ALB,1991,92.1424829753798,0
Albania,ALB,1992,95.0500883912787,0
Albania,ALB,1993,93.9076225559649,0
Albania,ALB,1994,95.686374016747,0
Albania,ALB,1995,93.9861390565616,0
Albania,ALB,1996,95.7204948177867,0
Albania,ALB,1997,96.1744452945677,0
Albania,ALB,1998,96.3202192209826,0
Albania,ALB,1999,97.3291582243507,0
Albania,ALB,2000,96.1490163248221,0
Albania,ALB,2001,95.3083109919571,0
Albania,ALB,2002,93.9539860888176,0
Albania,ALB,2003,97.8565705128205,0
Albania,ALB,2004,97.5026757046022,0
Albania,ALB,2005,98.713944515892,0
Albania,ALB,2006,98.3164373642288,0
Albania,ALB,2007,97.4825174825175,0
Albania,ALB,2008,100,0
Albania,ALB,2009,99.9807766243752,0
Albania,ALB,2010,99.9867864693446,0
Albania,ALB,2011,98.5922214268671,0
Albania,ALB,2012,100,0
Albania,ALB,2013,100,0
Albania,ALB,2014,100,0
Albania,ALB,2015,100,0
Algeria,DZA,1971,14.8048452220727,0
Algeria,DZA,1972,20.320197044335,0
Algeria,DZA,1973,26.79971489665,0
Algeria,DZA,1974,16.1994784876141,0
Algeria,DZA,1975,9.03581267217631,0
Algeria,DZA,1976,9.185360094451,0
Algeria,DZA,1977,5.80241587575496,0
Algeria,DZA,1978,4.56204379562044,0
Algeria,DZA,1979,4.52636490900607,0
Algeria,DZA,1980,3.60803032430156,0
Algeria,DZA,1981,4.49521002210759,0
Algeria,DZA,1982,5.09791400595998,0
Algeria,DZA,1983,2.29986298688589,0
